Sentences of 106_the_poor_millers_boy_and_the_cat,RST Relation 106_the_poor_millers_boy_and_the_cat,Nuclearity,One Label
"Done! said Hans, merrily.",Elaboration,S,JOY
What a noble heart that good man has! thought he.,Elaboration,S,JOY
"Then the shepherd jumped upon the horse, wished Hans and the cow good morning, and away he rode.",Elaboration,S,JOY
"Hans brushed his coat, wiped his face and hands, rested a while, and then drove off his cow quietly, and thought his bargain a very lucky one.",Elaboration,S,JOY
"If I have only a piece of bread (and I certainly shall always be able to get that), I can, whenever I like, eat my butter and cheese with it; and when I am thirsty I can milk my cow and drink the milk: and what can I wish for more?",evaluation,S,JOY
"When he came to an inn, he halted, ate up all his bread, and gave away his last penny for a glass of beer.",Elaboration,S,NEUTRAL
"When he had rested himself he set off again, driving his cow towards his mothers village.",Elaboration,S,NEUTRAL
"But the heat grew greater as soon as noon came on, till at last, as he found himself on a wide heath that would take him more than an hour to cross, he began to be so hot and parched that his tongue clave to the roof of his mouth.",Contrast,S,-
"I can find a cure for this, thought he; now I will milk my cow and quench my thirst: so he tied her to the stump of a tree, and held his leathern cap to milk into; but not a drop was to be had.",Enablement,S,SADNESS
"Who would have thought that this cow, which was to bring him milk and butter and cheese, was all that time utterly dry?",Elaboration,S,SADNESS
Hans had not thought of looking to that.,Elaboration,S,SADNESS
"While he was trying his luck in milking, and managing the matter very clumsily, the uneasy beast began to think him very troublesome; and at last gave him such a kick on the head as knocked him down; and there he lay a long while senseless.",Contrast,S,SADNESS
"Luckily a butcher soon came by, driving a pig in a wheelbarrow.",Elaboration,S,-
"What is the matter with you, my man? said the butcher, as he helped him up.",Elaboration,S,-
"Hans told him what had happened, how he was dry, and wanted to milk his cow, but found the cow was dry too.",Elaboration,S,-
"Then the butcher gave him a flask of ale, saying, There, drink and refresh yourself; your cow will give you no milk: dont you see she is an old beast, good for nothing but the slaughter-house?",evaluation,S,-
"Alas, alas! said Hans, who would have thought it?",Elaboration,S,-
"What a shame to take my horse, and give me only a dry cow!",Enablement,S,-
"If I kill her, what will she be good for?",Enablement,S,-
I hate cow-beef; it is not tender enough for me.,evaluation,S,ANGER
If it were a pig now --like that fat gentleman you are driving along at his ease--one could do something with it; it would at any rate make sausages.,Contrast,N,-
"Well, said the butcher, I dont like to say no, when one is asked to do a kind, neighbourly thing.",Enablement,S,-
"To please you I will change, and give you my fine fat pig for the cow.",Enablement,S,JOY
"Heaven reward you for your kindness and self-denial! said Hans, as he gave the butcher the cow; and taking the pig off the wheel-barrow, drove it away, holding it by the string that was tied to its leg.",Elaboration,S,JOY
"So on he jogged, and all seemed now to go right with him: he had met with some misfortunes, to be sure; but he was now well repaid for all.",Contrast,S,JOY
How could it be otherwise with such a travelling companion as he had at last got?,evaluation,S,JOY
The next man he met was a countryman carrying a fine white goose.,Elaboration,S,NEUTRAL
"The countryman stopped to ask what was oclock; this led to further chat; and Hans told him all his luck, how he had so many good bargains, and how all the world went gay and smiling with him.",Elaboration,S,JOY
"The countryman than began to tell his tale, and said he was going to take the goose to a christening.",Elaboration,S,-
"Feel, said he, how heavy it is, and yet it is only eight weeks old.",evaluation,S,-
"Whoever roasts and eats it will find plenty of fat upon it, it has lived so well!",evaluation,S,-
"Youre right, said Hans, as he weighed it in his hand; but if you talk of fat, my pig is no trifle.",Contrast,S,NEUTRAL
"Meantime the countryman began to look grave, and shook his head.",Elaboration,S,-
"Hark ye! said he, my worthy friend, you seem a good sort of fellow, so I cant help doing you a kind turn.",topic-comment,S,-
Your pig may get you into a scrape.,Enablement,S,NEUTRAL
"In the village I just came from, the squire has had a pig stolen out of his sty.",Elaboration,S,NEUTRAL
I was dreadfully afraid when I saw you that you had got the squires pig.,Elaboration,S,FEAR
"If you have, and they catch you, it will be a bad job for you.",evaluation,S,FEAR
The least they will do will be to throw you into the horse-pond.,Enablement,S,SADNESS
Can you swim?,Enablement,S,NEUTRAL
Poor Hans was sadly frightened.,Elaboration,S,-
"Good man, cried he, pray get me out of this scrape.",Enablement,S,FEAR
"I know nothing of where the pig was either bred or born; but he may have been the squires for aught I can tell: you know this country better than I do, take my pig and give me the goose.",evaluation,S,-
"I ought to have something into the bargain, said the countryman; give a fat goose for a pig, indeed!",Enablement,S,-
Tis not everyone would do so much for you as that.,Elaboration,S,-
"However, I will not be hard upon you, as you are in trouble.",Contrast,S,-
"Then he took the string in his hand, and drove off the pig by a side path; while Hans went on the way homewards free from care.",Contrast,S,JOY
"After all, thought he, that chap is pretty well taken in.",Contrast,S,JOY
"I dont care whose pig it is, but wherever it came from it has been a very good friend to me.",evaluation,S,-
I have much the best of the bargain.,Contrast,S,-
First there will be a capital roast; then the fat will find me in goose-grease for six months; and then there are all the beautiful white feathers.,Contrast,S,-
"I will put them into my pillow, and then I am sure I shall sleep soundly without rocking.",evaluation,S,JOY
How happy my mother will be!,Elaboration,S,JOY
"Talk of a pig, indeed!",Attribution,S,JOY
Give me a fine fat goose.,evaluation,S,JOY
"As he came to the next village, he saw a scissor-grinder with his wheel, working and singing,",temporal,S,NEUTRAL
"Oer hill and oer dale So happy I roam, Work light and live well, All the world is my home; Then who so blythe, so merry as I?",Contrast,S,JOY
"Hans stood looking on for a while, and at last said, You must be well off, master grinder! you seem so happy at your work.",Contrast,S,JOY
"Yes, said the other, mine is a golden trade; a good grinder never puts his hand into his pocket without finding money in it--but where did you get that beautiful goose?",Contrast,S,JOY
"I did not buy it, I gave a pig for it.",Elaboration,S,NEUTRAL
And where did you get the pig?,joint,S,-
I gave a cow for it.,Attribution,S,NEUTRAL
And the cow?,joint,S,NEUTRAL
I gave a horse for it.,Attribution,S,NEUTRAL
And the horse?,joint,S,NEUTRAL
I gave a lump of silver as big as my head for it.,Contrast,S,-
And the silver?,joint,S,NEUTRAL
Oh!,Attribution,S,-
I worked hard for that seven long years.,Contrast,S,NEUTRAL
"You have thriven well in the world hitherto, said the grinder, now if you could find money in your pocket whenever you put your hand in it, your fortune would be made.",evaluation,S,-
Very true: but how is that to be managed?,evaluation,S,-
How?,Attribution,S,NEUTRAL
"Why, you must turn grinder like myself, said the other; you only want a grindstone; the rest will come of itself.",evaluation,S,NEUTRAL
Here is one that is but little the worse for wear: I would not ask more than the value of your goose for it--will you buy?,Contrast,S,NEUTRAL
"How can you ask? said Hans; I should be the happiest man in the world, if I could have money whenever I put my hand in my pocket: what could I want more? theres the goose.",evaluation,S,JOY
"Now, said the grinder, as he gave him a common rough stone that lay by his side, this is a most capital stone; do but work it well enough, and you can make an old nail cut with it.",Contrast,N,NEUTRAL
"Hans took the stone, and went his way with a light heart: his eyes sparkled for joy, and he said to himself, Surely I must have been born in a lucky hour; everything I could want or wish for comes of itself.",topic-comment,S,JOY
"People are so kind; they seem really to think I do them a favour in letting them make me rich, and giving me good bargains.",evaluation,S,JOY
"Meantime he began to be tired, and hungry too, for he had given away his last penny in his joy at getting the cow.",Contrast,S,NEUTRAL
"At last he could go no farther, for the stone tired him sadly: and he dragged himself to the side of a river, that he might take a drink of water, and rest a while.",Contrast,S,-
"So he laid the stone carefully by his side on the bank: but, as he stooped down to drink, he forgot it, pushed it a little, and down it rolled, plump into the stream.",Contrast,S,SADNESS
